"Olympics","Athlete","Country","Medal","Event"
"2012 Summer Olympics","Ruslan Albegov","Russia","3rd place, bronze medalist(s)","Weightlifting, Men's +105 kg"
"2012 Summer Olympics","Asli Cakir Alptekin","Turkey","1st place, gold medalist(s)","Athletics, Women's 1500 m"
"2012 Summer Olympics","Gamze Bulut","Turkey","2nd place, silver medalist(s)","Athletics, Women's 1500 m"
"2012 Summer Olympics","Relay team ( Tyson Gay )","United States","2nd place, silver medalist(s)","Athletics, Men's 4 × 100 m relay"
"2012 Summer Olympics","Oleksiy Torokhtiy","Ukraine","1st place, gold medalist(s)","Weightlifting, Men's 105 kg"
"2012 Summer Olympics","Oleksandr Pyatnytsya","Ukraine","2nd place, silver medalist(s)","Athletics, Men's javelin throw"
"2012 Summer Olympics","Yuliya Kalina","Ukraine","3rd place, bronze medalist(s)","Weightlifting, Women's 58 kg"
"2012 Summer Olympics","Artur Taymazov","Uzbekistan","1st place, gold medalist(s)","Wrestling, Men's freestyle 120 kg"
"2012 Summer Olympics","Soslan Tigiev","Uzbekistan","3rd place, bronze medalist(s)","Wrestling, Men's freestyle 74 kg"
"2014 Winter Olympics","Two-man ( Alexandr Zubkov , Alexey Voyevoda )","Russia","1st place, gold medalist(s)","Bobsleigh, Two-man"
"2014 Winter Olympics","Four-man ( Alexandr Zubkov , Alexey Voyevoda )","Russia","1st place, gold medalist(s)","Bobsleigh, Four-man"
"2014 Winter Olympics","Relay team ( Evgeny Ustyugov )","Russia","1st place, gold medalist(s)","Biathlon, Men's relay"
"2014 Winter Olympics","Relay team ( Olga Zaitseva )","Russia","2nd place, silver medalist(s)","Biathlon, Women's relay"
"2016 Summer Olympics","Nijat Rahimov","Kazakhstan","1st place, gold medalist(s)","Weightlifting, Men's 77 kg (Y) – 3 medals to be allocated"
"2016 Summer Olympics","Izzat Artykov","Kyrgyzstan","3rd place, bronze medalist(s)","Weightlifting, Men's 69 kg"
"2016 Summer Olympics","Serghei Tarnovschi","Moldova","3rd place, bronze medalist(s)","Canoeing, Men's C-1 1000 m"
"2016 Summer Olympics","Gabriel Sîncrăian","Romania","3rd place, bronze medalist(s)","Weightlifting, Men's 85 kg"
"2016 Summer Olympics","Mikhail Aloyan","Russia","2nd place, silver medalist(s)","Boxing, Men's flyweight"
"2018 Winter Olympics","Curling team ( Aleksandr Krushelnitckii )","Olympic Athletes from Russia","3rd place, bronze medalist(s)","Curling, Mixed doubles"
"2020 Summer Olympics","Relay team ( Chijindu Ujah )","Great Britain","2nd place, silver medalist(s)","Athletics, Men's 4 x 100 m relay"
"2022 Winter Olympics","Figure skating team ( Kamila Valieva )","ROC","1st place, gold medalist(s)","Figure skating, team event"
"2024 Summer Olympics","Jordan Chiles","United States","3rd place, bronze medalist(s)","Gymnastics, Women's floor (Z)"
