dopage_id,edition,athlete,country,medal,event,sport,sex
73,2008 Summer Olympics,Davide Rebellin,Italy,Silver,"Cycling, Men's road race",Cycling,Male
74,2008 Summer Olympics,Relay team ( Nesta Carter ),Jamaica,Gold,"Athletics, Men's 4 × 100 m relay",Athletics,Male
75,2008 Summer Olympics,Ilya Ilyin,Kazakhstan,Gold,"Weightlifting, Men's 94 kg",Weightlifting,Male
76,2008 Summer Olympics,Irina Nekrassova,Kazakhstan,Silver,"Weightlifting, Women's 63 kg",Weightlifting,Female
77,2008 Summer Olympics,Taimuraz Tigiyev,Kazakhstan,Silver,"Wrestling, Men's freestyle 96 kg",Wrestling,Male
78,2008 Summer Olympics,Mariya Grabovetskaya,Kazakhstan,Bronze,"Weightlifting, Women's +75 kg",Weightlifting,Female
79,2008 Summer Olympics,Asset Mambetov,Kazakhstan,Bronze,"Wrestling, Men's Greco-Roman 96 kg",Wrestling,Male
80,2008 Summer Olympics,Kim Jong-su,Korea Team,Silver,"Shooting, Men's 50 m air pistol",Shooting,Male
81,2008 Summer Olympics,Kim Jong-su,Korea Team,Bronze,"Shooting, Men's 10 m air pistol",Shooting,Male
82,2008 Summer Olympics,"Equestrian team  (Camiro horse, Tony André Hansen rider)",Norway,Bronze,"Equestrian, team show jumping",Equestrian,Mixed
83,2008 Summer Olympics,Relay team ( Yuliya Chermoshanskaya ),Russian Federation,Gold,"Athletics, Women's 4 × 100 m relay",Athletics,Female
84,2008 Summer Olympics,Maria Abakumova,Russian Federation,Silver,"Athletics, Women's javelin throw",Athletics,Female
85,2008 Summer Olympics,Khasan Baroev,Russian Federation,Silver,"Wrestling, Men's Greco-Roman 120 kg",Wrestling,Male
86,2008 Summer Olympics,Tatyana Lebedeva,Russian Federation,Silver,"Athletics, Women's triple jump",Athletics,Female
87,2008 Summer Olympics,Tatyana Lebedeva,Russian Federation,Silver,"Athletics, Women's long jump",Athletics,Female
88,2008 Summer Olympics,"Relay team ( Anastasiya Kapachinskaya , Tatyana Firova )",Russian Federation,Silver,"Athletics, Women's 4 × 400 m relay",Athletics,Female
89,2008 Summer Olympics,Marina Shainova,Russian Federation,Silver,"Weightlifting, Women's 58 kg",Weightlifting,Female
90,2008 Summer Olympics,Khadzhimurat Akkaev,Russian Federation,Bronze,"Weightlifting, Men's 94 kg",Weightlifting,Male
91,2008 Summer Olympics,Anna Chicherova,Russian Federation,Bronze,"Athletics, Women's high jump",Athletics,Female
92,2008 Summer Olympics,Nadezhda Evstyukhina,Russian Federation,Bronze,"Weightlifting, Women's 75 kg",Weightlifting,Female
93,2008 Summer Olympics,Dmitry Lapikov,Russian Federation,Bronze,"Weightlifting, Men's 105 kg",Weightlifting,Male
94,2008 Summer Olympics,Tatyana Chernova,Russian Federation,Bronze,"Athletics, Women's heptathlon",Athletics,Female
95,2008 Summer Olympics,Relay team ( Denis Alexeev ),Russian Federation,Bronze,"Athletics, Men's 4 × 400 m relay",Athletics,Male
96,2008 Summer Olympics,Yekaterina Volkova,Russian Federation,Bronze,"Athletics, Women's 3000 m steeplechase",Athletics,Female
97,2008 Summer Olympics,Ara Abrahamian,Sweden,Bronze,"Wrestling, Men's Greco-Roman 84 kg (X, Z)",Wrestling,Male
98,2008 Summer Olympics,Elvan Abeylegesse,Türkiye,Silver,"Athletics, Women's 5000 metres",Athletics,Female
99,2008 Summer Olympics,Elvan Abeylegesse,Türkiye,Silver,"Athletics, Women's 10000 metres",Athletics,Female
100,2008 Summer Olympics,Sibel Özkan,Türkiye,Silver,"Weightlifting, Women's 48 kg",Weightlifting,Female
101,2008 Summer Olympics,Lyudmyla Blonska,Ukraine,Silver,"Athletics, Women's heptathlon",Athletics,Female
102,2008 Summer Olympics,Vasyl Fedoryshyn,Ukraine,Silver,"Wrestling, Men's freestyle 60 kg",Wrestling,Male
103,2008 Summer Olympics,Olha Korobka,Ukraine,Silver,"Weightlifting, Women's +75 kg",Weightlifting,Female
104,2008 Summer Olympics,Nataliya Davydova,Ukraine,Bronze,"Weightlifting, Women's 69 kg",Weightlifting,Female
105,2008 Summer Olympics,Victoria Tereshchuk,Ukraine,Bronze,"Modern pentathlon, Women's modern pentathlon",Modern pentathlon,Female
106,2008 Summer Olympics,Denys Yurchenko,Ukraine,Bronze,"Athletics, Men's pole vault",Athletics,Male
107,2008 Summer Olympics,Artur Taymazov,Uzbekistan,Gold,"Wrestling, Men's freestyle 120 kg",Wrestling,Male
108,2008 Summer Olympics,Soslan Tigiev,Uzbekistan,Silver,"Wrestling, Men's freestyle 74 kg",Wrestling,Male
109,2010 Winter Olympics,Evgeny Ustyugov,Russian Federation,Gold,"Biathlon, Men's mass start",Biathlon,Male
110,2010 Winter Olympics,Relay team ( Evgeny Ustyugov ),Russian Federation,Bronze,"Biathlon, Men's relay",Biathlon,Male
111,2012 Summer Olympics,Hripsime Khurshudyan,Armenia,Bronze,"Weightlifting, Women's +75 kg",Weightlifting,Female
112,2012 Summer Olympics,Valentin Hristov,Azerbaijan,Bronze,"Weightlifting, Men's 56 kg",Weightlifting,Male
113,2012 Summer Olympics,Nadzeya Ostapchuk,Belarus,Gold,"Athletics, Women's shot put",Athletics,Female
114,2012 Summer Olympics,Iryna Kulesha,Belarus,Bronze,"Weightlifting, Women's 75 kg",Weightlifting,Female
115,2012 Summer Olympics,Maryna Shkermankova,Belarus,Bronze,"Weightlifting, Women's 69 kg",Weightlifting,Female
116,2012 Summer Olympics,Davit Modzmanashvili,Georgia,Silver,"Wrestling, Men's freestyle 120 kg",Wrestling,Male
117,2012 Summer Olympics,Zulfiya Chinshanlo,Kazakhstan,Gold,"Weightlifting, Women's 53 kg",Weightlifting,Female
118,2012 Summer Olympics,Ilya Ilyin,Kazakhstan,Gold,"Weightlifting, Men's 94 kg",Weightlifting,Male
119,2012 Summer Olympics,Maiya Maneza,Kazakhstan,Gold,"Weightlifting, Women's 63 kg",Weightlifting,Female
120,2012 Summer Olympics,Svetlana Podobedova,Kazakhstan,Gold,"Weightlifting, Women's 75 kg",Weightlifting,Female
121,2012 Summer Olympics,Jevgenij Shuklin,Lithuania,Silver,"Canoeing, Men's C-1 200 m",Canoeing,Male
122,2012 Summer Olympics,Anatolie Cîrîcu,Republic of Moldova,Bronze,"Weightlifting, Men's 94 kg",Weightlifting,Male
123,2012 Summer Olympics,Cristina Iovu,Republic of Moldova,Bronze,"Weightlifting, Women's 53 kg",Weightlifting,Female
124,2012 Summer Olympics,Răzvan Martin,Romania,Bronze,"Weightlifting, Men's 69 kg",Weightlifting,Male
125,2012 Summer Olympics,Roxana Cocoș,Romania,Silver,"Weightlifting, Women's 69 kg",Weightlifting,Female
126,2012 Summer Olympics,Natalya Antyukh,Russian Federation,Gold,"Athletics, Women's 400 m hurdles",Athletics,Female
127,2012 Summer Olympics,Sergey Kirdyapkin,Russian Federation,Gold,"Athletics, Men's 50 km walk",Athletics,Male
128,2012 Summer Olympics,Elena Lashmanova,Russian Federation,Gold,"Athletics, Women's 20 km walk",Athletics,Female
129,2012 Summer Olympics,Ivan Ukhov,Russian Federation,Gold,"Athletics, Men's high jump",Athletics,Male
